date,min,max,pm25,q1,q3,stdev,count
2020-04-04T00:00:00.000Z,23.78,37.58,30.26,27.85,33.56,3.543,44
2020-04-05T00:00:00.000Z,4.18,25.42,6.24,5.8,7.12,4.096,533
2020-04-06T00:00:00.000Z,4.58,8.33,6.07,5.62,6.38,0.628,510
2020-04-07T00:00:00.000Z,5.82,11.95,7.56,7.1,8.27,1.142,438
2020-04-08T00:00:00.000Z,5.3,25.15,9.32,8.01,11.04,2.418,461
2020-04-09T00:00:00.000Z,4.45,19.73,8.5,7.18,11.7,4.163,298
2020-04-10T00:00:00.000Z,4.87,24.99,12.15,8.49,16.62,4.784,509
2020-04-11T00:00:00.000Z,5.88,18.07,12.6,9.36,14.72,3.19,151
2020-04-12T00:00:00.000Z,4.44,23.67,11.33,7.55,16.5,5.509,592
2020-04-13T00:00:00.000Z,5.03,30.9,10.83,7.5,14.23,6.067,586
2020-04-14T00:00:00.000Z,1.25,18.73,9.91,5.36,13.84,4.721,569
2020-04-15T00:00:00.000Z,0.95,7.92,2.15,1.57,2.76,1.498,521
2020-04-16T00:00:00.000Z,1.55,8.26,4.45,2.13,5.59,1.822,525
2020-04-17T00:00:00.000Z,1.14,13,4.13,2.81,6.82,2.609,575
2020-04-18T00:00:00.000Z,2.58,13.69,4.65,3.74,5.96,1.856,579
2020-04-19T00:00:00.000Z,3.42,8.74,5.69,4.59,6.58,1.163,568
2020-04-20T00:00:00.000Z,1.3,12.14,4.04,2.88,6.25,2.462,513
2020-04-21T00:00:00.000Z,0.64,6.76,3.82,2.17,4.49,1.406,383
2020-04-22T00:00:00.000Z,0.6,6.1,2.25,1.38,3.45,1.21,419
2020-04-23T00:00:00.000Z,0.45,7.26,1.84,1.37,2.34,1.579,480
2020-04-24T00:00:00.000Z,2.12,12.02,5.14,3.22,7.11,2.559,549
2020-04-25T00:00:00.000Z,0.64,18.8,4.34,1.75,10.09,5.029,514
2020-04-26T00:00:00.000Z,0.8,6.55,2.75,1.26,4.55,1.659,567
2020-04-27T00:00:00.000Z,1.3,16.79,3.29,2,5.49,3.052,541
2020-04-28T00:00:00.000Z,1.23,8.4,3.09,2.54,5.73,1.883,412
2020-04-29T00:00:00.000Z,1.12,6.93,2.96,2.4,3.8,1.004,523
2020-04-30T00:00:00.000Z,0.86,6.88,2.17,1.5,3.89,1.304,539
2020-05-01T00:00:00.000Z,1.23,9.06,2.87,2.06,3.5,1,562
2020-05-02T00:00:00.000Z,1.36,5.54,2.79,2.29,3.8,0.901,547
2020-05-03T00:00:00.000Z,0.85,5.34,2.54,1.75,3.18,0.96,578
2020-05-04T00:00:00.000Z,0.38,13.17,0.97,0.84,1.27,2.13,541
2020-05-05T00:00:00.000Z,0.5,6.59,1.71,0.86,3.4,1.408,495
2020-05-06T00:00:00.000Z,0.86,6.33,1.86,1.42,3.2,1.145,591
2020-05-07T00:00:00.000Z,0.75,3.11,1.27,1.04,1.78,0.569,380
2020-05-08T00:00:00.000Z,0.78,6.95,1.86,1.3,3,1.503,351
2020-05-09T00:00:00.000Z,0.85,6.88,3.08,1.26,5.08,1.938,345
2020-05-10T00:00:00.000Z,1.2,16.1,4.94,1.96,10.8,4.537,248
2020-05-11T00:00:00.000Z,0.95,6.28,3.46,2.25,4.12,1.253,355
2020-05-12T00:00:00.000Z,1.58,4.8,3.01,2.6,3.45,0.597,473
2020-05-13T00:00:00.000Z,1.21,13.12,3.53,2.29,5.96,2.098,458
2020-05-14T00:00:00.000Z,3.96,9.69,6.38,5.6,7.1,1.043,458
2020-05-15T00:00:00.000Z,0.8,11.81,1.9,1.37,3.87,3.078,535
2020-05-16T00:00:00.000Z,1.32,5.98,3.55,2.15,4.26,1.118,337
2020-05-17T00:00:00.000Z,3.44,14.04,5.84,5.36,6.52,1.117,547
2020-05-18T00:00:00.000Z,3.77,10.49,5.46,4.88,6.24,0.952,477
2020-05-19T00:00:00.000Z,1.22,7.96,2.84,2.17,3.84,1.171,553
2020-05-20T00:00:00.000Z,0.96,4.91,2.47,1.78,3.24,0.926,559
2020-05-21T00:00:00.000Z,0.9,3.21,1.54,1.3,1.78,0.367,509
2020-05-22T00:00:00.000Z,0.74,3.68,1.42,1.27,1.96,0.619,548
2020-05-23T00:00:00.000Z,0.68,5.95,2.42,1.37,3.15,1.056,514
2020-05-24T00:00:00.000Z,1,5.97,2.08,1.75,2.65,1.012,531
2020-05-25T00:00:00.000Z,0.8,7.93,2.1,1.51,3.54,1.724,545
2020-05-26T00:00:00.000Z,0.3,5.03,1.27,0.77,2.5,1.169,497
2020-05-27T00:00:00.000Z,0.3,31.3,0.7,0.55,1.1,1.82,519
2020-05-28T00:00:00.000Z,0.68,8.3,1.33,1.1,1.67,1.138,525
2020-05-29T00:00:00.000Z,0.95,6.53,2.67,1.95,3.34,1.156,540
2020-05-30T00:00:00.000Z,0.7,9.55,2.37,1.37,5.55,2.33,563
2020-05-31T00:00:00.000Z,1.17,9.25,2.62,2.02,3.5,1.392,489
2020-06-01T00:00:00.000Z,0.8,6.4,2,1.27,3.71,1.369,485
2020-06-02T00:00:00.000Z,0.6,4.78,1.77,1.2,2.54,0.935,530
2020-06-03T00:00:00.000Z,0.88,19.85,2.09,1.4,2.91,1.499,444
2020-06-04T00:00:00.000Z,0.8,8.5,1.99,1.42,2.4,1.07,534
2020-06-05T00:00:00.000Z,1.92,10.15,4.46,2.96,6.27,1.925,448
2020-06-06T00:00:00.000Z,1,7.93,2.7,1.86,4.38,1.506,480
2020-06-07T00:00:00.000Z,0.9,7.1,2.1,1.58,2.8,1.066,536
2020-06-08T00:00:00.000Z,0.95,14.9,2.45,1.85,3.42,1.13,523
2020-06-09T00:00:00.000Z,1.05,4.87,2.37,1.95,2.72,0.643,491
2020-06-10T00:00:00.000Z,0.6,10.15,2.25,1.52,2.92,1,511
2020-06-11T00:00:00.000Z,0.8,216.65,2.29,1.37,2.89,10.381,545
2020-06-12T00:00:00.000Z,0.47,8.98,1.4,0.88,2.54,1.105,551
2020-06-13T00:00:00.000Z,0.7,5.43,2.12,1.42,3.05,0.997,535
2020-06-14T00:00:00.000Z,1.7,7.15,2.7,2.27,3.83,1.048,340
2020-06-15T00:00:00.000Z,0.85,7.1,3.22,2.1,4.13,1.204,564
2020-06-16T00:00:00.000Z,0.35,10.07,2,1.6,2.65,0.936,570
2020-06-17T00:00:00.000Z,1.55,13.38,3.45,2.5,4.25,1.181,546
2020-06-18T00:00:00.000Z,1.08,12.77,2.72,2.04,3.5,1.102,515
2020-06-19T00:00:00.000Z,0.62,6.12,1.69,1.12,2.78,0.981,486
2020-06-20T00:00:00.000Z,0.47,10.98,2.45,1.58,3.2,1.209,579
2020-06-21T00:00:00.000Z,0.5,18.14,1.6,1.2,1.87,0.973,578
2020-06-22T00:00:00.000Z,0.43,2.95,1,0.8,1.35,0.405,559
2020-06-23T00:00:00.000Z,0.7,4.34,1.26,1.08,1.6,0.391,568
2020-06-24T00:00:00.000Z,0.6,6.03,1.97,1.35,2.72,1.014,588
2020-06-25T00:00:00.000Z,0.7,15.43,1.89,1.2,3.78,1.686,562
2020-06-26T00:00:00.000Z,0.55,8.15,2.04,1.23,3.9,1.539,558
2020-06-27T00:00:00.000Z,1,6.78,2.29,1.65,3.64,1.178,521
2020-06-28T00:00:00.000Z,1.05,20.07,2.7,1.8,3.7,1.706,453
2020-06-29T00:00:00.000Z,0.88,10.85,2.8,1.87,4,1.674,483
2020-06-30T00:00:00.000Z,1.67,5.82,2.6,2.29,2.99,0.671,468
2020-07-01T00:00:00.000Z,1.7,7.3,3.4,2.6,4.09,0.929,458
2020-07-02T00:00:00.000Z,1.7,17.14,3.5,2.67,6.73,2.82,457
2020-07-03T00:00:00.000Z,2.33,9.19,4.28,3.45,5.42,1.443,469
2020-07-04T00:00:00.000Z,1.4,8.63,4,3.08,5.2,1.392,497
2020-07-05T00:00:00.000Z,0.7,4.68,1.5,1.14,2.04,0.752,474
2020-07-06T00:00:00.000Z,1.1,4.95,2.37,1.95,2.65,0.565,279
2020-07-07T00:00:00.000Z,1.35,4.55,2.52,2.25,2.97,0.528,445
2020-07-08T00:00:00.000Z,1.23,6.62,2.78,2.2,3.33,0.815,442
2020-07-09T00:00:00.000Z,1.3,10.63,2.95,2.17,4.43,1.601,470
2020-07-10T00:00:00.000Z,1.3,5,2.34,1.87,3,0.746,446
2020-07-11T00:00:00.000Z,1.4,5.62,2.78,2.15,3.35,0.795,331
2020-07-12T00:00:00.000Z,1.85,6.03,3.35,2.65,4,0.834,426
2020-07-13T00:00:00.000Z,0.65,5.32,1.5,1.14,1.85,0.784,394
2020-07-14T00:00:00.000Z,0.6,6.4,1.4,1.12,1.9,0.789,446
2020-07-15T00:00:00.000Z,0.68,358.08,2.04,1.37,2.75,25.702,354
